,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NONE"," FAIL"," END"," ID"," NUM","  STR"," T"," F"," O_PARAN"," C_PARAN","O_BRACE"," C_BRACE"," O_BRACKET"," C_BRACKET"," PLUS_EQ"," PLUS"," MINUS"," TIMES","DIVIDE"," LESS"," LESS_EQ"," EQ"," NOT_EQ"," GREATER"," GREATER_EQ","  IF"," ELIF"," ELSE"," PRINT"," DEF"," CLASS"," DO"," WHILE"," UNTIL"," FOR"," IN","BREAK"," CONT"," READ"," ASSIGN"," INIT"," AND"," OR"," NOT"," COMMA"," SC"
"CODE",,,,"ASGNMT","ASGNMT","ASGNMT","ASGNMT","ASGNMT",,,"BLOCK",,,,,,,,,,,,,,,"COND",,,"IO_STMT",,,"DLOOP","WLOOP",,"FLOOP",,,,,,,,,,,
"COND",,,,,,,,,,,,,,,,,,,,,,,,,,"IF O_PARAN ASGNMT C_PARAN COND2 ",,,,,,,,,,,,,,,,,,,,
"COND2",,,,"ASGNMT","ASGNMT","ASGNMT","ASGNMT","ASGNMT",,,"BLOCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COND_ELIF",,,"END",,,,,,,,,,,,,,,,,,,,,,,,"ELIF O_PARAN ASGNMT C_PARAN COND_ELIF2 ",,,,,,,,,,,,,,,,,,,
"COND_ELIF2",,,,"ASGNMT","ASGNMT","ASGNMT","ASGNMT","ASGNMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COND_ELSE",,,"END",,,,,,,,,,,,,,,,,,,,,,,,,"ELSE COND_ELSE2 ",,,,,,,,,,,,,,,,,,
"COND_ELSE2",,,,"ASGNMT","ASGNMT","ASGNMT","ASGNMT","ASGNMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOOP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WLOOP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WHILE O_PARAN ASGNMT C_PARAN BLOCK",,,,,,,,,,,,,
"DLOOP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FLOOP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IO_STMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRINT STMT",,,,,,,,,,"READ STMT",,,,,,,
"BLOCK",,,,,,,,,,,"O_BRACE ASGNMT C_BRACE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASGNMT",,,,"ID ASGNMT2","NUM ORX2","STR ORX2","T ORX2","F ORX2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASGNMT2",,,"END",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASSIGN ASGNMT",,,,,,
"ORX",,,,"ID ORX2","NUM ORX2","STR ORX2","T ORX2","F ORX2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ORX2",,,"END",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OR ASGNMT",,,
"ANDX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANDX2",,,"END",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMP2",,,"END",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EXPR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EXPR2",,,"END",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TERM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TERM2",,,"END",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FACTOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
